"sp_name","esthe_score","file_name","copyright","iucn","rls","kingdom","phylum","class","order","family","genus","species","ages_mean","ED","ED_sd","esthe_score_mean","max_length","trophic_level","thermal_mp_5min_95max","thermal_95thmax","trophic_group","water_column","diel_activity","habitat","Di","Ui","iucn_code","threats"
"Bathygobius_krefftii",1359.6163,"Bathygobius_krefftii_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Bathygobius","Bathygobius krefftii",19.9554187303866,30.0788650046651,11.2266132472409,1348.982,0.370302818761584,0.296296296296296,0.716880612975346,0.732799229133741,"benthic invertivore","benthic","day","sand",0.541668484892224,0.0473752814311716,"NE","nev"
"Bathygobius_lineatus",1372.9199,"Bathygobius_lineatus_A_1","NO",1,0,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Bathygobius","Bathygobius lineatus",18.9018697006403,29.4428056363906,10.2248853700008,1439.9437,0.293474014564691,0.518518518518518,0.834494115277114,0.787443799029052,"benthic invertivore","benthic","day","sand",0.537494568282838,0.01814233203009,"VU","thr"
"Bathystethus_cultratus",1183.7335,"Bathystethus_cultratus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Kyphosidae","Bathystethus","Bathystethus cultratus",10.0346991808077,19.5506598817776,7.89065397434195,1240.8926,0.543924469105433,0.444444444444444,0.76620062431601,0.744599626523142,"benthic invertivore","pelagic site attached","day","coral",0.505861672803904,0.0397269945833694,"NE","nev"
"Batrachoides_boulengeri",1271.5853,"Batrachoides_boulengeri_A_1","NO",1,0,"Animalia","Chordata","Actinopterygii","Batrachoidiformes","Batrachoididae","Batrachoides","Batrachoides boulengeri",18.1188838407254,37.5779860381791,9.35400760772256,1284.6905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU","thr"
"Belone_belone",1122.0869,"Belone_belone_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Beloniformes","Belonidae","Belone","Belone belone",48.5363619999999,69.0329472713526,5.14743736744074e-06,1195.3511,0.758306100356702,0.814814814814815,0.421338406290841,0.716513844210147,"higher carnivore","pelagic non-site attached","day","water column",0.641416429590217,0.07463832958064,"LC","nthr"
"Belonoperca_chabanaudi",1562.605,"Belonoperca_chabanaudi_A_2","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Belonoperca","Belonoperca chabanaudi",16.4739058969084,26.8110164369142,13.3809033515721,1530.56505,0.412584760829815,0.740740740740741,0.925175684947563,0.910318281145424,"benthic invertivore","pelagic site attached","night","coral",0.59536415894739,0.0232348885788158,"LC","nthr"
"Blenniella_chrysospilos",1324.5312,"Blenniella_chrysospilos_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae","Blenniella","Blenniella chrysospilos",8.8388125591805,16.02552260747,5.78797941833593,1383.22565,0.385469562809998,0.185185185185185,0.901547685425446,0.901890788417808,"browsing herbivore","benthic","day","coral",0.53047399668668,0.0216562217537959,"LC","nthr"
"Bodianus_albotaeniatus",1615.5721,"Bodianus_albotaeniatus_F_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bodianus","Bodianus albotaeniatus",13.1408800569101,21.7828251988479,7.00476111103344,1571.28676666667,0.648148979361234,0.418684355925926,0.876826878299853,0.805061239449935,"benthic invertivore","demersal","day","coral",0.412627305484109,0.0300166487681909,"LC","nthr"
"Bodianus_anthioides",1610.002,"Bodianus_anthioides_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bodianus","Bodianus anthioides",10.9428585782887,20.7046877645363,7.86483101896286,1557.1401,0.501642527037201,0.518518518518518,0.888846829666283,0.915864632186876,"benthic invertivore","demersal","day","coral",0.4054544698734,0.0125960396449347,"LC","nthr"
"Bodianus_axillaris",1578.839,"Bodianus_axillaris_J_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bodianus","Bodianus axillaris",12.2561506220537,21.5637506452926,8.95109587435864,1483.87669724974,0.46709566490854,0.518518518518518,0.881450877197441,0.927478766535949,"benthic invertivore","demersal","day","coral",0.405718978128455,0.00339242477920099,"LC","nthr"
