"sp_name","Importance"
"Cheilodipterus_macrodon",NA
"Cheilodipterus_nigrotaeniatus",NA
"Cheilodipterus_parazonatus",NA
"Cheilodipterus_quinquelineatus","minor commercial"
"Cheiloprion_labiatus","of no interest"
"Chelidonichthys_capensis","commercial"
"Chelmon_marginalis",NA
"Chelmon_rostratus","minor commercial"
"Chelmonops_curiosus",NA
"Chelmonops_truncatus",NA
"Chelon_auratus","commercial"
"Chelon_labrosus","commercial"
"Chelon_ramada","commercial"
"Chelon_richardsonii","commercial"
"Chelonodon_pleurospilus",NA
"Chilomycterus_antennatus","of no interest"
"Chilomycterus_reticulatus","of no interest"
"Chirodactylus_brachydactylus","minor commercial"
"Chirolophis_ascanii","of no interest"
"Chironemus_maculosus",NA
"Chironemus_marmoratus",NA
"Chironemus_microlepis",NA
"Chlorurus_atrilunula","commercial"
"Chlorurus_bleekeri","minor commercial"
"Chlorurus_bowersi",NA
"Chlorurus_capistratoides",NA
"Chlorurus_frontalis",NA
"Chlorurus_gibbus","commercial"
"Chlorurus_japanensis","commercial"
"Chlorurus_microrhinos",NA
"Chlorurus_rhakoura",NA
"Chlorurus_sordidus","commercial"
"Chlorurus_spilurus",NA
"Chlorurus_strongylocephalus","commercial"
"Choerodon_anchorago","commercial"
"Choerodon_azurio",NA
"Choerodon_cauteroma",NA
"Choerodon_cephalotes","commercial"
"Choerodon_cyanodus",NA
"Choerodon_fasciatus","commercial"
"Choerodon_graphicus","minor commercial"
"Choerodon_jordani",NA
"Choerodon_monostigma",NA
"Choerodon_rubescens",NA
"Choerodon_schoenleinii","commercial"
"Choerodon_vitta",NA
"Chriolepis_dialepta",NA
"Chromis_abrupta",NA
"Chromis_acares",NA
"Chromis_agilis","of no interest"
"Chromis_alpha",NA
"Chromis_alta",NA
"Chromis_amboinensis",NA
"Chromis_analis",NA
"Chromis_atrilobata",NA
"Chromis_atripectoralis","subsistence fisheries"
"Chromis_atripes",NA
"Chromis_bami",NA
"Chromis_caudalis",NA
"Chromis_chromis","minor commercial"
"Chromis_chrysura",NA
"Chromis_cinerascens",NA
"Chromis_crusma",NA
"Chromis_cyanea",NA
"Chromis_dimidiata",NA
"Chromis_dispilus",NA
"Chromis_elerae",NA
"Chromis_flavaxilla",NA
"Chromis_flavipectoralis",NA
"Chromis_flavomaculata",NA
"Chromis_fumea",NA
"Chromis_hanui",NA
"Chromis_hypsilepis",NA
"Chromis_insolata",NA
"Chromis_iomelas",NA
"Chromis_klunzingeri",NA
"Chromis_lepidolepis","of no interest"
"Chromis_limbata","minor commercial"
"Chromis_limbaughi",NA
"Chromis_lineata",NA
"Chromis_margaritifer",NA
"Chromis_multilineata","subsistence fisheries"
"Chromis_nigrura","of no interest"
"Chromis_nitida",NA
"Chromis_notata",NA
"Chromis_opercularis","of no interest"
"Chromis_ovalis",NA
"Chromis_pamae",NA
"Chromis_pelloura",NA
"Chromis_pembae",NA
"Chromis_punctipinnis","minor commercial"
"Chromis_randalli",NA
"Chromis_retrofasciata",NA
"Chromis_scotochiloptera",NA
"Chromis_scotti",NA
"Chromis_ternatensis","of no interest"
