"sp_name","esthe_score","file_name","copyright","iucn","rls","kingdom","phylum","class","order","family","genus","species","ages_mean","ED","ED_sd","esthe_score_mean"
"Achoerodus_viridis",1510.3435,"Achoerodus_viridis_M_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Achoerodus","Achoerodus viridis",19.165783473395,39.2806353306933,11.641920808532,1489.1033
"Aetapcus_maculatus",1470.3533,"Aetapcus_maculatus_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Pataecidae","Aetapcus","Aetapcus maculatus",23.7919999788518,37.1870487168278,12.9610203757417,1430.2215
"Aethaloperca_rogaa",1588.5294,"Aethaloperca_rogaa_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Aethaloperca","Aethaloperca rogaa",13.8512220160705,23.0770784132035,9.15421229030319,1349.50975419506
"Afurcagobius_tamarensis",1368.8524,"Afurcagobius_tamarensis_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Afurcagobius","Afurcagobius tamarensis",23.597422492789,31.9730442483915,7.48062997795763,1395.4225
"Aioliops_brachypterus",1476.381,"Aioliops_brachypterus_A_1","YES",1,0,"Animalia","Chordata","Actinopterygii","Perciformes","Microdesmidae","Aioliops","Aioliops brachypterus",NA,NA,NA,1556.335
"Aioliops_novaeguineae",1254.8787,"Aioliops_novaeguineae_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Microdesmidae","Aioliops","Aioliops novaeguineae",19.7343001728652,28.3462506476795,8.44232098364157,1330.5181
"Albula_glossodonta",1237.746,"Albula_glossodonta_A_1","NO",1,0,"Animalia","Chordata","Actinopterygii","Albuliformes","Albulidae","Albula","Albula glossodonta",146.053498380001,147.112381322637,4.87833493971168e-07,1330.77245
"Alectis_ciliaris",1336.7205,"Alectis_ciliaris_J_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Alectis","Alectis ciliaris",12.732929038524,19.3493691865771,6.60227806527523,1366.27496666667
"Alloclinus_holderi",1427.3304,"Alloclinus_holderi_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labrisomidae","Alloclinus","Alloclinus holderi",36.1577261694462,40.2577960305466,8.62969817435522,1453.751
"Allomycterus_pilatus",1472.9896,"Allomycterus_pilatus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Diodontidae","Allomycterus","Allomycterus pilatus",4.31526001604339,13.8924823612706,1.90113644342249,1519.7535
"Alphestes_immaculatus",1510.3021,"Alphestes_immaculatus_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Alphestes","Alphestes immaculatus",8.43904322120311,12.9780739612696,4.97877840771114,1537.3752
"Altrichthys_azurelineatus",1421.8921,"Altrichthys_azurelineatus_A_2","YES",1,0,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Altrichthys","Altrichthys azurelineatus",9.97193487862374,14.1984169223298,4.65105606129294,1344.96965
"Altrichthys_curatus",1462.4418,"Altrichthys_curatus_A_2","YES",1,0,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Altrichthys","Altrichthys curatus",9.77535015842405,13.99238355878,4.87811196982759,1443.62365
"Aluterus_scriptus",1608.1896,"Aluterus_scriptus_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Monacanthidae","Aluterus","Aluterus scriptus",13.1840999969543,18.168991653475,9.98285208388915,1600.3068
"Amanses_scopas",1466.009,"Amanses_scopas_A_2","NO",0,1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Monacanthidae","Amanses","Amanses scopas",5.72352219058964,11.8297171826138,3.11040619106324,1445.827
"Ambassis_jacksoniensis",1327.6875,"Ambassis_jacksoniensis_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Ambassidae","Ambassis","Ambassis jacksoniensis",103.427961969994,104.080740198143,5.13176218312597e-06,1349.20245
"Amblycirrhitus_bimacula",1394.8323,"Amblycirrhitus_bimacula_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Cirrhitidae","Amblycirrhitus","Amblycirrhitus bimacula",27.2427578419847,36.5381362572245,18.9572172585917,1397.36445
"Amblycirrhitus_earnshawi",1349.9833,"Amblycirrhitus_earnshawi_A_2","NO",1,0,"Animalia","Chordata","Actinopterygii","Perciformes","Cirrhitidae","Amblycirrhitus","Amblycirrhitus earnshawi",18.6061306199565,28.5179698862398,9.01436912270372,1361.30615
"Amblycirrhitus_pinos",1454.9655,"Amblycirrhitus_pinos_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Cirrhitidae","Amblycirrhitus","Amblycirrhitus pinos",22.3996128917915,32.1416506309061,17.0701658630357,1430.4959
"Amblyeleotris_fasciata",1357.9485,"Amblyeleotris_fasciata_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblyeleotris","Amblyeleotris fasciata",16.0161758066859,23.2902952563796,6.08128815235658,1415.0374
"Amblyeleotris_guttata",1470.9946,"Amblyeleotris_guttata_A_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblyeleotris","Amblyeleotris guttata",14.2695432394101,22.206274504279,8.36897942813505,1507.94846666667
