"name","kingdom","phylum","class","order","family","genus","species"
"Aspidontus_dussumieri","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae","Aspidontus","Aspidontus dussumieri"
"Aspidontus_taeniatus","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae","Aspidontus","Aspidontus taeniatus"
"Assessor_flavissimus","Animalia","Chordata","Actinopterygii","Perciformes","Plesiopidae","Assessor","Assessor flavissimus"
"Assessor_macneilli","Animalia","Chordata","Actinopterygii","Perciformes","Plesiopidae","Assessor","Assessor macneilli"
"Assessor_randalli","Animalia","Chordata","Actinopterygii","Perciformes","Plesiopidae","Assessor","Assessor randalli"
"Assiculus_punctatus","Animalia","Chordata","Actinopterygii","Perciformes","Pseudochromidae","Assiculus","Assiculus punctatus"
"Asterropteryx_striata","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Asterropteryx","Asterropteryx striata"
"Atherina_hepsetus","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinidae","Atherina","Atherina hepsetus"
"Atherina_presbyter","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinidae","Atherina","Atherina presbyter"
"Atherinomorus_vaigiensis","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinidae","Atherinomorus","Atherinomorus vaigiensis"
"Atractoscion_aequidens","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Atractoscion","Atractoscion aequidens"
"Atrosalarias_holomelas","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae","Atrosalarias","Atrosalarias holomelas"
"Atule_mate","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Atule","Atule mate"
"Atypichthys_latus","Animalia","Chordata","Actinopterygii","Perciformes","Kyphosidae","Atypichthys","Atypichthys latus"
