"sp_worms","name_worms","mayo_campgn","fisheyes_campgn","esthe_mayo"
"Amphiprion_melanopus","Amphiprion_melanopus_A_1",0,0,NA
"Amphiprion_melanopus","Amphiprion_melanopus_A_3",0,0,NA
"Amphiprion_nigripes","Amphiprion_nigripes_A_1",0,0,NA
"Amphiprion_nigripes","Amphiprion_nigripes_A_2",0,0,NA
"Amphiprion_ocellaris","Amphiprion_ocellaris_A_3",0,0,NA
"Amphiprion_ocellaris","Amphiprion_ocellaris_A_1",0,0,NA
"Amphiprion_ocellaris","Amphiprion_ocellaris_A_2",0,0,NA
"Amphiprion_percula","Amphiprion_percula_A_1",0,0,NA
"Amphiprion_percula","Amphiprion_percula_A_2",0,0,NA
"Amphiprion_perideraion","Amphiprion_perideraion_A_2",0,0,NA
"Amphiprion_perideraion","Amphiprion_perideraion_A_1",0,0,NA
"Amphiprion_rubrocinctus","Amphiprion_rubrocinctus_A_3",0,0,NA
"Amphiprion_rubrocinctus","Amphiprion_rubrocinctus_A_1",0,0,NA
"Amphiprion_sandaracinos","Amphiprion_sandaracinos_A_1",0,0,NA
"Anampses_caeruleopunctatus","Anampses_caeruleopunctatus_J_1",0,0,NA
"Anampses_caeruleopunctatus","Anampses_caeruleopunctatus_F_1",0,0,NA
"Anampses_caeruleopunctatus","Anampses_caeruleopunctatus_M_1",0,0,NA
"Anampses_caeruleopunctatus","Anampses_caeruleopunctatus_F_2",0,0,NA
"Anampses_cuvier","Anampses_cuvier_M_2",0,0,NA
"Anampses_cuvier","Anampses_cuvier_M_1",0,0,NA
"Anampses_cuvier","Anampses_cuvier_F_1",0,0,NA
"Anampses_elegans","Anampses_elegans_M_1",0,0,NA
"Anampses_elegans","Anampses_elegans_F_1",0,0,NA
"Anampses_femininus","Anampses_femininus_F_1",0,1,NA
"Anampses_femininus","Anampses_femininus_M_1",0,0,NA
"Anampses_geographicus","Anampses_geographicus_M_1",0,0,NA
"Anampses_geographicus","Anampses_geographicus_F_1",0,0,NA
"Anampses_geographicus","Anampses_geographicus_M_2",0,0,NA
"Anampses_lennardi","Anampses_lennardi_M_1",0,0,NA
"Anampses_lennardi","Anampses_lennardi_F_1",0,0,NA
"Anampses_lineatus","Anampses_lineatus_M_1",0,0,NA
"Anampses_lineatus","Anampses_lineatus_A_1",0,0,NA
"Anampses_lineatus","Anampses_lineatus_J_1",0,0,NA
"Anampses_melanurus","Anampses_melanurus_M_1",0,0,NA
"Anampses_melanurus","Anampses_melanurus_F_1",0,0,NA
"Anampses_meleagrides","Anampses_meleagrides_fem_147",1,0,1787.456829
"Anampses_meleagrides","Anampses_meleagrides_male_150",1,0,1441.156003
"Anampses_meleagrides","Anampses_meleagrides_F_1",0,0,NA
"Anampses_neoguinaicus","Anampses_neoguinaicus_J_1",0,1,NA
"Anampses_neoguinaicus","Anampses_neoguinaicus_A_1",0,0,NA
"Anampses_twistii","Anampses_twistii_13",1,0,1617.756546
"Anampses_twistii","Anampses_twistii_A_2",0,0,NA
"Anampses_twistii","Anampses_twistii_A_1",0,0,NA
"Anarrhichthys_ocellatus","Anarrhichthys_ocellatus_A_2",0,0,NA
"Anarrhichthys_ocellatus","Anarrhichthys_ocellatus_A_1",0,0,NA
"Anisotremus_caesius","Anisotremus_caesius_A_1",0,0,NA
"Anisotremus_davidsonii","Anisotremus_davidsonii_A_1",0,0,NA
"Anisotremus_interruptus","Anisotremus_interruptus_A_1",0,0,NA
"Anisotremus_scapularis","Anisotremus_scapularis_A_1",0,0,NA
"Anisotremus_scapularis","Anisotremus_scapularis_A_2",0,0,NA
"Anisotremus_surinamensis","Anisotremus_surinamensis_J_1",0,0,NA
"Anisotremus_surinamensis","Anisotremus_surinamensis_A_1",0,0,NA
"Anisotremus_taeniatus","Anisotremus_taeniatus_A_1",0,0,NA
"Anisotremus_taeniatus","Anisotremus_taeniatus_J_1",0,1,NA
"Anisotremus_virginicus","Anisotremus_virginicus_J_1",0,0,NA
"Anisotremus_virginicus","Anisotremus_virginicus_A_1",0,0,NA
"Anoplocapros_amygdaloides","Anoplocapros_amygdaloides_F_1",0,0,NA
"Anoplocapros_amygdaloides","Anoplocapros_amygdaloides_J_1",0,0,NA
"Anoplocapros_inermis","Anoplocapros_inermis_J_2",0,0,NA
"Anoplocapros_inermis","Anoplocapros_inermis_F_3",0,0,NA
"Anoplocapros_inermis","Anoplocapros_inermis_M_2",0,0,NA
"Anoplocapros_inermis","Anoplocapros_inermis_F_2",0,0,NA
"Anoplocapros_lenticularis","Anoplocapros_lenticularis_F_1",0,0,NA
"Anoplocapros_lenticularis","Anoplocapros_lenticularis_M_2",0,0,NA
"Anoplocapros_lenticularis","Anoplocapros_lenticularis_J_1",0,0,NA
"Anyperodon_leucogrammicus","Anyperodon_leucogrammicus_A_1",0,0,NA
"Anyperodon_leucogrammicus","Anyperodon_leucogrammicus_J_1",0,0,NA
"Aphareus_furca","Aphareus_furca_A_2",0,0,NA
"Aphareus_furca","Aphareus_furca_A_1",0,0,NA
